"BehaviorSpace results (NetLogo 6.1.1)"
"TP1_tarefa1.nlogo"
"Tarefa 1"
"11/08/2020 19:30:01:306 +0000"
"min-pxcor";"max-pxcor";"min-pycor";"max-pycor"
"-16";"16";"-16";"16"
"[run number]";"1";"1";"1";"2";"2";"2";"3";"3";"3";"4";"4";"4";"5";"5";"5";"6";"6";"6";"7";"7";"7";"8";"8";"8";"9";"9";"9";"10";"10";"10";"11";"11";"11";"12";"12";"12";"13";"13";"13";"14";"14";"14";"15";"15";"15";"16";"16";"16";"17";"17";"17";"18";"18";"18";"19";"19";"19";"20";"20";"20";"21";"21";"21";"22";"22";"22";"23";"23";"23";"24";"24";"24";"25";"25";"25";"26";"26";"26";"27";"27";"27";"28";"28";"28";"29";"29";"29";"30";"30";"30"
"N-cats";"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;
"N-mice";"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;
"[reporter]";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks"
"[final]";"5";"1";"79";"5";"1";"66";"5";"1";"42";"5";"1";"56";"5";"1";"51";"5";"1";"59";"5";"1";"41";"5";"1";"50";"5";"1";"124";"5";"1";"33";"5";"1";"48";"5";"1";"111";"5";"1";"36";"5";"1";"50";"5";"1";"94";"5";"1";"50";"5";"1";"49";"5";"1";"96";"5";"1";"84";"5";"1";"42";"5";"1";"50";"5";"1";"33";"5";"1";"96";"5";"1";"88";"5";"1";"236";"5";"1";"58";"5";"1";"45";"5";"1";"94";"5";"1";"26";"5";"1";"96"
"[min]";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0"
"[max]";"5";"10";"79";"5";"10";"66";"5";"10";"42";"5";"10";"56";"5";"10";"51";"5";"10";"59";"5";"10";"41";"5";"10";"50";"5";"10";"124";"5";"10";"33";"5";"10";"48";"5";"10";"111";"5";"10";"36";"5";"10";"50";"5";"10";"94";"5";"10";"50";"5";"10";"49";"5";"10";"96";"5";"10";"84";"5";"10";"42";"5";"10";"50";"5";"10";"33";"5";"10";"96";"5";"10";"88";"5";"10";"236";"5";"10";"58";"5";"10";"45";"5";"10";"94";"5";"10";"26";"5";"10";"96"
"[mean]";"5";"4.4375";"39.5";"5";"3.7611940298507465";"33";"5";"4.27906976744186";"21";"5";"3.43859649122807";"28";"5";"4.076923076923077";"25.5";"5";"4.15";"29.5";"5";"3.5952380952380953";"20.5";"5";"4.019607843137255";"25";"5";"2.208";"62";"5";"5.029411764705882";"16.5";"5";"4.081632653061225";"24";"5";"3.5714285714285716";"55.5";"5";"3.72972972972973";"18";"5";"3";"25";"5";"3.231578947368421";"47";"5";"2.784313725490196";"25";"5";"4.58";"24.5";"5";"2.9690721649484537";"48";"5";"2.611764705882353";"42";"5";"4.1395348837209305";"21";"5";"4.784313725490196";"25";"5";"4.411764705882353";"16.5";"5";"3.185567010309278";"48";"5";"2.9775280898876404";"44";"5";"2.6033755274261603";"118";"5";"3.0677966101694913";"29";"5";"4.565217391304348";"22.5";"5";"3.7578947368421054";"47";"5";"5.037037037037037";"13";"5";"2.7731958762886597";"48"
"[steps]";"79";"79";"79";"66";"66";"66";"42";"42";"42";"56";"56";"56";"51";"51";"51";"59";"59";"59";"41";"41";"41";"50";"50";"50";"124";"124";"124";"33";"33";"33";"48";"48";"48";"111";"111";"111";"36";"36";"36";"50";"50";"50";"94";"94";"94";"50";"50";"50";"49";"49";"49";"96";"96";"96";"84";"84";"84";"42";"42";"42";"50";"50";"50";"33";"33";"33";"96";"96";"96";"88";"88";"88";"236";"236";"236";"58";"58";"58";"45";"45";"45";"94";"94";"94";"26";"26";"26";"96";"96";"96"

