"BehaviorSpace results (NetLogo 6.1.1)"
"TP1_tarefa2.nlogo"
"experiment"
"11/08/2020 19:53:07:293 +0000"
"min-pxcor";"max-pxcor";"min-pycor";"max-pycor"
"-16";"16";"-16";"16"
"[run number]";"1";"1";"1";"2";"2";"2";"3";"3";"3";"4";"4";"4";"5";"5";"5";"6";"6";"6";"7";"7";"7";"8";"8";"8";"9";"9";"9";"10";"10";"10";"11";"11";"11";"12";"12";"12";"13";"13";"13";"14";"14";"14";"15";"15";"15";"16";"16";"16";"17";"17";"17";"18";"18";"18";"19";"19";"19";"20";"20";"20";"21";"21";"21";"22";"22";"22";"23";"23";"23";"24";"24";"24";"25";"25";"25";"26";"26";"26";"27";"27";"27";"28";"28";"28";"29";"29";"29";"30";"30";"30"
"max-lifespan";"3500";;;"3500";;;"3500";;;"3500";;;"3500";;;"3500";;;"3500";;;"3500";;;"3500";;;"3500";;;"3500";;;"3500";;;"3500";;;"3500";;;"3500";;;"3500";;;"3500";;;"3500";;;"3500";;;"3500";;;"3500";;;"3500";;;"3500";;;"3500";;;"3500";;;"3500";;;"3500";;;"3500";;;"3500";;;"3500";;
"reproductionMice";"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;
"birthEnergy";"250";;;"250";;;"250";;;"250";;;"250";;;"250";;;"250";;;"250";;;"250";;;"250";;;"250";;;"250";;;"250";;;"250";;;"250";;;"250";;;"250";;;"250";;;"250";;;"250";;;"250";;;"250";;;"250";;;"250";;;"250";;;"250";;;"250";;;"250";;;"250";;;"250";;
"show-labels?";"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;
"N-cats";"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;
"competicao?";"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;
"grass-grow-rate";"1";;;"1";;;"1";;;"1";;;"1";;;"1";;;"1";;;"1";;;"1";;;"1";;;"1";;;"1";;;"1";;;"1";;;"1";;;"1";;;"1";;;"1";;;"1";;;"1";;;"1";;;"1";;;"1";;;"1";;;"1";;;"1";;;"1";;;"1";;;"1";;;"1";;
"grass-energy";"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;
"reproductionCats";"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;
