"BehaviorSpace results (NetLogo 6.1.1)"
"TP1_tarefa2.nlogo"
"experiment"
"11/08/2020 20:02:00:971 +0000"
"min-pxcor";"max-pxcor";"min-pycor";"max-pycor"
"-16";"16";"-16";"16"
"[run number]";"1";"1";"1";"2";"2";"2";"3";"3";"3";"4";"4";"4";"5";"5";"5";"6";"6";"6";"7";"7";"7";"8";"8";"8";"9";"9";"9";"10";"10";"10"
"max-lifespan";"3500";;;"3500";;;"3500";;;"3500";;;"3500";;;"3500";;;"3500";;;"3500";;;"3500";;;"3500";;
"reproductionMice";"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;
"birthEnergy";"250";;;"250";;;"250";;;"250";;;"250";;;"250";;;"250";;;"250";;;"250";;;"250";;
"show-labels?";"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;
"N-cats";"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;
"competicao?";"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;;"false";;
"grass-grow-rate";"0";;;"0";;;"0";;;"0";;;"0";;;"0";;;"0";;;"0";;;"0";;;"0";;
"grass-energy";"0";;;"0";;;"0";;;"0";;;"0";;;"0";;;"0";;;"0";;;"0";;;"0";;
"reproductionCats";"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;
"N-mice";"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;
"reproduce?";"true";;;"true";;;"true";;;"true";;;"true";;;"true";;;"true";;;"true";;;"true";;;"true";;
"[reporter]";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks"
"[final]";"23";"1";"59";"20";"1";"67";"23";"1";"44";"24";"1";"73";"22";"1";"59";"23";"1";"76";"23";"1";"35";"20";"2";"47";"22";"1";"56";"21";"1";"75"
"[min]";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"1";"0";"5";"2";"0";"5";"1";"0";"5";"1";"0"
"[max]";"23";"10";"59";"20";"10";"67";"23";"10";"44";"24";"10";"73";"22";"10";"59";"23";"10";"76";"23";"10";"35";"20";"10";"47";"22";"10";"56";"21";"10";"75"
"[mean]";"13.383333333333333";"5.45";"29.5";"10.661764705882353";"5.985294117647059";"33.5";"13.755555555555556";"5.311111111111111";"22";"9.621621621621621";"7.702702702702703";"36.5";"11.35";"6.233333333333333";"29.5";"16.98701298701299";"3.857142857142857";"38";"9.805555555555555";"7.111111111111111";"17.5";"11.604166666666666";"6.5";"23.5";"16.666666666666668";"3.526315789473684";"28";"11.171052631578947";"6.0131578947368425";"37.5"
"[steps]";"59";"59";"59";"67";"67";"67";"44";"44";"44";"73";"73";"73";"59";"59";"59";"76";"76";"76";"35";"35";"35";"47";"47";"47";"56";"56";"56";"75";"75";"75"

"[all run data]";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks";"count cats";"count mice";"ticks"
;"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0";"5";"10";"0"
;"5";"10";"1";"5";"10";"1";"5";"10";"1";"5";"10";"1";"6";"9";"1";"5";"10";"1";"5";"10";"1";"5";"10";"1";"5";"10";"1";"5";"10";"1"
;"5";"10";"2";"5";"10";"2";"5";"10";"2";"5";"10";"2";"7";"9";"2";"5";"10";"2";"5";"10";"2";"5";"10";"2";"5";"10";"2";"5";"10";"2"
;"5";"10";"3";"5";"10";"3";"5";"10";"3";"5";"10";"3";"7";"9";"3";"5";"10";"3";"5";"10";"3";"5";"10";"3";"5";"10";"3";"5";"10";"3"
;"5";"10";"4";"5";"10";"4";"5";"10";"4";"5";"10";"4";"7";"9";"4";"5";"10";"4";"5";"10";"4";"5";"10";"4";"5";"10";"4";"5";"10";"4"
;"5";"10";"5";"5";"10";"5";"5";"10";"5";"5";"10";"5";"7";"9";"5";"6";"9";"5";"5";"10";"5";"5";"10";"5";"6";"9";"5";"5";"10";"5"
;"5";"10";"6";"5";"10";"6";"5";"10";"6";"5";"10";"6";"7";"9";"6";"6";"9";"6";"5";"10";"6";"5";"10";"6";"6";"9";"6";"5";"10";"6"
;"5";"10";"7";"5";"9";"7";"5";"10";"7";"5";"10";"7";"7";"9";"7";"7";"9";"7";"5";"9";"7";"6";"9";"7";"6";"9";"7";"5";"10";"7"
;"5";"10";"8";"5";"9";"8";"5";"10";"8";"5";"10";"8";"7";"9";"8";"7";"9";"8";"5";"9";"8";"7";"9";"8";"6";"9";"8";"5";"10";"8"
;"5";"10";"9";"5";"9";"9";"5";"10";"9";"5";"10";"9";"7";"9";"9";"7";"9";"9";"5";"9";"9";"7";"9";"9";"7";"9";"9";"6";"9";"9"
;"5";"10";"10";"5";"9";"10";"5";"10";"10";"5";"10";"10";"7";"9";"10";"7";"9";"10";"5";"9";"10";"7";"9";"10";"7";"9";"10";"6";"9";"10"
;"5";"10";"11";"5";"9";"11";"5";"10";"11";"5";"9";"11";"7";"9";"11";"7";"9";"11";"5";"9";"11";"7";"9";"11";"8";"8";"11";"7";"9";"11"
;"5";"10";"12";"5";"9";"12";"6";"9";"12";"6";"9";"12";"7";"9";"12";"7";"9";"12";"5";"9";"12";"7";"9";"12";"9";"5";"12";"7";"9";"12"
