"BehaviorSpace results (NetLogo 6.1.1)"
"TP1_tarefa2.nlogo"
"experiment"
"11/08/2020 20:13:07:529 +0000"
"min-pxcor";"max-pxcor";"min-pycor";"max-pycor"
"-16";"16";"-16";"16"
"[run number]";"1";"1";"1";"2";"2";"2";"3";"3";"3";"4";"4";"4";"5";"5";"5";"6";"6";"6";"7";"7";"7";"8";"8";"8";"9";"9";"9";"10";"10";"10"
"max-lifespan";"365";;;"365";;;"365";;;"365";;;"365";;;"365";;;"365";;;"365";;;"365";;;"365";;
"reproductionMice";"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;
"birthEnergy";"250";;;"250";;;"250";;;"250";;;"250";;;"250";;;"250";;;"250";;;"250";;;"250";;
"N-cats";"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;
"competicao?";"true";;;"true";;;"true";;;"true";;;"true";;;"true";;;"true";;;"true";;;"true";;;"true";;
"grass-grow-rate";"1";;;"1";;;"1";;;"1";;;"1";;;"1";;;"1";;;"1";;;"1";;;"1";;
"grass-energy";"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;;"5";;
"reproductionCats";"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;;"50";;
"N-mice";"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;;"10";;
"reproduce?";"true";;;"true";;;"true";;;"true";;;"true";;;"true";;;"true";;;"true";;;"true";;;"true";;
"[reporter]";"count mice";"count cats";"ticks";"count mice";"count cats";"ticks";"count mice";"count cats";"ticks";"count mice";"count cats";"ticks";"count mice";"count cats";"ticks";"count mice";"count cats";"ticks";"count mice";"count cats";"ticks";"count mice";"count cats";"ticks";"count mice";"count cats";"ticks";"count mice";"count cats";"ticks"
"[final]";"1";"17";"76";"2";"18";"34";"1";"14";"55";"1";"22";"51";"1";"14";"63";"1";"22";"52";"2";"18";"61";"1";"16";"54";"1";"14";"103";"1";"16";"73"
"[min]";"1";"5";"0";"2";"5";"0";"1";"5";"0";"1";"5";"0";"1";"5";"0";"1";"5";"0";"2";"5";"0";"1";"5";"0";"1";"4";"0";"1";"5";"0"
"[max]";"11";"17";"76";"10";"18";"34";"13";"18";"55";"15";"24";"51";"10";"15";"63";"10";"22";"52";"12";"18";"61";"11";"16";"54";"10";"16";"103";"11";"16";"73"
